id,product_name,price,category,sub_category,availability,description,,img_primary,img_secondary,url
p57,Ceylon Mango With Neroli – Lip Care Scrub 25g,16,skin,dosha by face care,no,"A natural exfoliating formula, infused with caring Virgin Coconut, softening Ceylon Mango Butter & renewing Cane Sugars. Enriched with nourishing vitamins & protective anti-oxidants to help gently renew & restore lips. Tumeric & Neroli combine to effectively remove dry, dead skin cells & reveal softer, smoother, more radiant lips.",,Ceylon Mango With Neroli – Lip Care Scrub 25g_primary.jpg,Ceylon Mango With Neroli – Lip Care Scrub 25g_secondary.jpg,https://store.spaceylon.com/product/ceylon-mango-with-neroli-lip-care-scrub-25g/
p58,Skin Balance – Moringa Herb Clarifying Clay Masque 200g,40,skin,facial masque,no,"An intense soothing, purifying & refreshing formula fortified with precious Moringa, Indian Gooseberry, Ceylon Margosa & Gotukola to help control problem skin & restore natural skin balance.",,Skin Balance – Moringa Herb Clarifying Clay Masque 200g_primary.jpg,Skin Balance – Moringa Herb Clarifying Clay Masque 200g_secondary.jpg,https://store.spaceylon.com/product/skin-balance-moringa-herb-clarifying-clay-masque-200g/
p59,Skin Sleep – Tamarind Seed Plumping Crème Masque 200g,40,skin,facial masque,yes,"An ultra-rich, creamy blend of naturally rejuvenating Tamarind Seed, Virgin Coconut & Olive, to help deeply hydrate, nourish & firm skin, promoting skin elasticity. Enriched with natural pro-biotic actives to help renew cells & defend against visible signs of skin ageing. Naturally anti-oxidant Green Tea & Grapeseed promote fresh looking, smoother & visibly youthful skin. Precious Calendula & Aloe Vera help comfort & repair skin, while nourishing natural Vitamins B & E help improve skin radiance. Lavender, Neroli & Ylang help comfort & calm for total skin wellness.
* For dry, dehydrated skin
* For skin with fine lines that needs extra hydration, firming & soothing care.",,Skin Sleep – Tamarind Seed Plumping Crème Masque 200g_primary.jpg,Skin Sleep – Tamarind Seed Plumping Crème Masque 200g_secondary.jpg,https://store.spaceylon.com/product/skin-sleep-tamarind-seed-plumping-creme-masque-200g/
p60,Skin De-Stress – Sea Mineral Reviva Polishing Masque 200g,40,skin,facial masque,yes,"An intensive blend of nutrient-rich minerals & Indian Ginseng to exfoliate skin & help boost vitality. Natural pro-biotic actives help renew cells & minimise skin stress caused by harsh external factors. Naturally rejuvenating Tamarind Seed, Sandalwood & Olive help deeply nourish & restore, promoting skin elasticity.",,Skin De-Stress – Sea Mineral Reviva Polishing Masque 200g_primary.jpg,Skin De-Stress – Sea Mineral Reviva Polishing Masque 200g_secondary.jpg,https://store.spaceylon.com/product/skin-de-stress-sea-mineral-reviva-polishing-masque-200g/
p61,White Rice – Overnight Hydrating Treatment 200g,30,skin,dosha by face care,no,Description not available,,White Rice – Overnight Hydrating Treatment 200g_primary.jpg,White Rice – Overnight Hydrating Treatment 200g_secondary.jpg,https://store.spaceylon.com/product/white-rice-overnight-hydrating-treatment-200g/
p62,Virgin Coconut – Gentle Cleansing Milk 100ml,26,skin,cleanser,yes,"An extra-gentle purifying formula, blended with pure Virgin Coconut Oil – naturally cold pressed at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon. Rich in nourishing vitamins & protective anti-oxidants to help protect skin against dryness & improve natural skin balance.",,Virgin Coconut – Gentle Cleansing Milk 100ml_primary.jpg,Virgin Coconut – Gentle Cleansing Milk 100ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-gentle-cleansing-milk-100ml/
p63,Virgin Coconut – Facial Cleansing Oil 100ml,26,skin,cleanser,no,"An extra-gentle purifying formula, blended with pure Virgin Coconut Oil – naturally cold pressed at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon. Rich in nourishing vitamins & protective anti-oxidants to help protect skin against dryness & improve natural skin balance.",,,Virgin Coconut – Facial Cleansing Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-facial-cleansing-oil-100ml/
p64,Virgin Coconut – Nourishing & Glowing Facial Masque 200g,33,skin,facial masque,no,"A rich & creamy formula, blended with pure Virgin Coconut Oil – naturally cold pressed at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon. Rich in nourishing vitamins & protective anti-oxidants to deep-purify, soothe, hydrate & comfort skin after sun exposure, promoting natural balance.",,Virgin Coconut – Nourishing & Glowing Facial Masque 200g_primary.jpg,Virgin Coconut – Nourishing & Glowing Facial Masque 200g_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-nourishing-glowing-facial-masque-200g/
p65,Virgin Coconut – Night Repair Face Treatment Oil 10ml,20,skin,bridal shower,no,"A light, fast-absorbent, overnight treatment formula, blended with pure Virgin Coconut Oil – naturally cold pressed at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon.",,Virgin Coconut – Night Repair Face Treatment Oil 10ml_primary.jpg,Virgin Coconut – Night Repair Face Treatment Oil 10ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-night-repair-face-treatment-oil-10ml/
p66,Comfort – Neck & Shoulder Rub 50g,13,skin,comfort,yes,"Fast-absorbent non-oily formula. Practical for use on the go, in the office or in any social situation.",,Comfort – Neck & Shoulder Rub 50g_primary.jpg,Comfort – Neck & Shoulder Rub 50g_secondary.jpg,https://store.spaceylon.com/product/comfort-neck-shoulder-rub-50g/
p67,Neem & Tea Tree – Refining Natural Exfoliator 200g,27,skin,dosha by face care,no,"A deep-acting scrub enriched with mineral-rich natural clays & balancing Tea Tree to help clear clogged pores, effectively removing dead cells, blackheads, whiteheads & acne causing impurities.",,Neem & Tea Tree – Refining Natural Exfoliator 200g_primary.jpg,Neem & Tea Tree – Refining Natural Exfoliator 200g_secondary.jpg,https://store.spaceylon.com/product/neem-tea-tree-refining-natural-exfoliator-200g/
p68,Neem & Tea Tree – Mattifying All – Day Protector SPF 5+ 100g,25,skin,dosha by face care,no,"An instantly-absorbent non-oily formula enriched with balancing Witch Hazel, soothing Aloe Vera & natural minerals to help keep skin looking matte & oil-free for longer.",,Neem & Tea Tree – Mattifying All – Day Protector SPF 5+ 100g_primary.jpg,Neem & Tea Tree – Mattifying All – Day Protector SPF 5+ 100g_secondary.jpg,https://store.spaceylon.com/product/neem-tea-tree-mattifying-all-day-protector-spf-5-100g/
p69,Virgin Coconut – Face & Body Refining Scrub 100g,30,skin,body scrubs & polishes,yes,A unique 100% natural complex of pure Virgin Coconut Oil & Virgin Coconut Crystals naturally extracted at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon.,,Virgin Coconut – Face & Body Refining Scrub 100g_primary.jpg,Virgin Coconut – Face & Body Refining Scrub 100g_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-face-body-refining-scrub-100g/
p70,White Jasmine – Brightening Hand Cream 30g,13,skin,bridal shower,yes,"A natural illuminating treatment enriched with precious Jasmine oil to gently brighten. Jasmine, Rice Bran & natural vitamins help improve skin tone, while Avocado, Wheatgerm & White Minerals help protect from the sun.",,White Jasmine – Brightening Hand Cream 30g_primary.jpg,White Jasmine – Brightening Hand Cream 30g_secondary.jpg,https://store.spaceylon.com/product/white-jasmine-brightening-hand-cream-30g/
p71,Sandalwood Spice – Intensive Hand Cream 30g,12,skin,bridal shower,no,"A natural revitalising treatment enriched with precious Mysore Sandalwood, Sweet Almond, Wheatgerm & Virgin Coconut to moisturise, nourish & care for dry & rough hands.",,Sandalwood Spice – Intensive Hand Cream 30g_primary.jpg,Sandalwood Spice – Intensive Hand Cream 30g_secondary.jpg,https://store.spaceylon.com/product/sandalwood-spice-intensive-hand-cream-30g/
p72,White Jasmine – Facial Skin Tonic 100ml,28,skin,dosha by face care,no,"An alcohol-free natural formula to tone, hydrate & gently illuminate skin. Purifying & cooling Witch Hazel helps remove traces of cleanser, dirt & make-up without drying skin, leaving it feeling soft, supple & refreshed.",,White Jasmine – Facial Skin Tonic 100ml_primary.jpg,White Jasmine – Facial Skin Tonic 100ml_secondary.jpg,https://store.spaceylon.com/product/white-jasmine-facial-skin-tonic-100ml/
p73,White Tuberose – Facial Scrub 100g,30,skin,dosha by face care,no,"A light natural formula with fine fruit particles & 100% pure precious Tuberose oil to gently lighten, brighten & illuminate skin.",,White Tuberose – Facial Scrub 100g_primary.jpg,White Tuberose – Facial Scrub 100g_secondary.jpg,https://store.spaceylon.com/product/white-tuberose-facial-scrub-100g/
p74,Energise – Invigorating Body Milk 250ml,15,mind & body,body care,yes,"A warming & hydrating blend of powerful Ayurveda herbs & potent essential oils. Organic Ceylon Cinnamon helps invigorate & revive the body & mind, gently easing stress.",,Energise – Invigorating Body Milk 250ml_primary.jpg,Energise – Invigorating Body Milk 250ml_secondary.jpg,https://store.spaceylon.com/product/energise-invigorating-body-milk-250ml-2/
p75,Energise – Invigorating Body Cleanser 250ml,15,mind & body,bath & shower,yes,"A warming & purifying blend of powerful Ayurveda herbs & potent essential oils. Organic Ceylon Cinnamon helps invigorate & revive the body & mind, gently easing stress.",,Energise – Invigorating Body Cleanser 250ml_primary.jpg,Energise – Invigorating Body Cleanser 250ml_secondary.jpg,https://store.spaceylon.com/product/energise-invigorating-body-cleanser-250ml-3/
p76,Pink Lotus – Body Lotion 300ml,15,mind & body,dosha types,yes,"A rich natural formula with a hydrating blend of herbs & floral extracts to moisturise, nourish & care. Olive, Wheatgerm & Rice Bran help hydrate & promote moisture retention.",,Pink Lotus – Body Lotion 300ml_primary.jpg,Pink Lotus – Body Lotion 300ml_secondary.jpg,https://store.spaceylon.com/product/pink-lotus-body-lotion-300ml-2/
p77,Uplift – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An All-Day Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps refresh, warm & invigorate the body & mind, promoting positive energies & happiness. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The tangy taste & spicy natural aroma help warm & uplift the senses.",,Uplift – Herbal Infusion – 30g_primary.jpg,Uplift – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/uplift-herbal-infusion-30g/
p78,Sleep Intense – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Bedtime Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps take away daily stress, gently unwind & relieve the body & mind, promoting dreamy restful sleep. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The tangy floral taste & sweet natural aroma helps soothe & calm the senses.",,Sleep Intense – Herbal Infusion – 30g_primary.jpg,Sleep Intense – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/sleep-intense-herbal-infusion-30g/
p79,Energise – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Morning Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps comfort, warm & awaken the body & mind, promoting subtle energies. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The fruity floral taste & tangy natural aroma help soothe & energise the senses.",,Energise – Herbal Infusion – 30g_primary.jpg,Energise – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/energise-herbal-infusion-30g/
p80,Refresh – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An All-Day Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps refresh, uplift & invigorate the body & mind, promoting relaxed calm & internal balance. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The cooling minty flavour & natural floral aroma help soothe & refresh the senses",,Refresh – Herbal Infusion – 30g_primary.jpg,Refresh – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/refresh-herbal-infusion-30g/
p81,De-stress – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An All-Day Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps refresh, uplift & invigorate the body & mind, promoting relaxed calm & internal balance. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The cooling minty flavour & natural floral aroma help soothe & refresh the senses.",,De-stress – Herbal Infusion – 30g_primary.jpg,De-stress – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/de-stress-herbal-infusion-30g/
p82,Clarify – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Daytime Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps refresh, stimulate & fortify the body & mind, improving alertness & clarity. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The light minty taste & natural aroma help soothe & clarify the senses.",,Clarify – Herbal Infusion – 30g_primary.jpg,Clarify – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/clarify-herbal-infusion-30g/
p83,Comfort – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An After-Meal Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps take away daily stress, gently unwind & comfort the body & mind. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The sweet spicy flavour & natural aroma helps soothe & comfort the senses.",,,,https://store.spaceylon.com/product/comfort-herbal-infusion-30g/
p84,Sleep – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Bedtime Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps take away daily stress, gently unwind & relieve the body & mind, promoting dreamy restful sleep. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The tangy floral taste & sweet natural aroma helps soothe & calm the senses.",,Sleep – Herbal Infusion – 30g_primary.jpg,Sleep – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/sleep-herbal-infusion-30g/
p85,Relax – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An All-Day Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps refresh, uplift & invigorate the body & mind, promoting relaxed calm & internal balance. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The light tangy taste & natural aroma helps soothe & refresh the senses.",,Relax – Herbal Infusion – 30g_primary.jpg,Relax – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/relax-herbal-infusion-30g/
p86,Detox – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An Evening Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps cleanse and refresh the body. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The spiced tangy taste & natural aroma helps soothe & clarify the senses.",,Detox – Herbal Infusion – 30g_primary.jpg,Detox – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/detox-herbal-infusion-30g/
p87,Recovery – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An After-Workout Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a light leafy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Cinnamon, Peppermint, Lemongrass, help refresh, uplift & revitalize the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Recovery – Herbal Infusion – 30g_primary.jpg,Recovery – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/recovery-herbal-infusion-30g/
p88,Warmth – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a light spicy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Amla, Cinnamon, Ginger, Coriander, Cardamom, help soothe, warm & comfort the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Warmth – Herbal Infusion – 30g_primary.jpg,Warmth – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/warmth-herbal-infusion-30g/
p89,Hangover – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Morning Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, tangy citrus taste & exotic herbal aroma. Enriched with naturally anti-oxidant Ginger, Licorice, Chamomile, Peppermint, Hibiscus, help comfort, awaken & balance the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Hangover – Herbal Infusion – 30g_primary.jpg,Hangover – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/hangover-herbal-infusion-30g/
p90,Unwind – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, light spicy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Cinnamon, Licorice, Orange Peel, help soothe, comfort & relax the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Unwind – Herbal Infusion – 30g_primary.jpg,Unwind – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/unwind-herbal-infusion-30g/
p91,Vitality – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, earthy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Ashwagandha, Licorice, Cinnamon, Lemongrass, Lemon & Orange Peel, help uplift, energise & invigorate the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Vitality – Herbal Infusion – 30g_primary.jpg,Vitality – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/vitality-herbal-infusion-30g/
p92,Immunity – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Morning Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, light earthy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Sarsaparilla, Licorice, Ginger, help reinforce, energize & strengthen the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Immunity – Herbal Infusion – 30g_primary.jpg,Immunity – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/immunity-herbal-infusion-30g/
p93,Soothe – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Mid-Day Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a refreshing minty taste & exotic herbal aroma. Enriched with naturally anti-oxidant Peppermint, Lemongrass, Gotukola, help cool, calm & relax the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Soothe – Herbal Infusion – 30g_primary.jpg,Soothe – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/soothe-herbal-infusion-30g/
p94,Delight – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An All-Day Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, light floral taste & exotic herbal aroma. Enriched with naturally anti-oxidant Cinnamon, Rose Petal, Licorice, help warm, refresh & delight the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Delight – Herbal Infusion – 30g_primary.jpg,Delight – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/delight-herbal-infusion-30g/
p95,Happy – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"A Mid-Day Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, nutty taste & exotic herbal aroma. Enriched with naturally anti-oxidant Licorice, Peppermint, Lemongrass, help refresh, soothe & uplift the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Happy – Herbal Infusion – 30g_primary.jpg,Happy – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/happy-herbal-infusion-30g/
p96,Love – Herbal Infusion – 30g,10,mind & body,herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, tangy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Lemongrass, Licorice, Rosehip, Hibiscus, help uplift, comfort & energise the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",,Love – Herbal Infusion – 30g_primary.jpg,Love – Herbal Infusion – 30g_secondary.jpg,https://store.spaceylon.com/product/love-herbal-infusion-30g/
p97,Neroli Jasmine – No Age – Serum Enriched Hand Cream – 30g,6,mind & body,hand creams & treatments,no,An easy-absorbent blend of rich fruit butters & Ayurveda WonderHerbs for intensive care.,,Neroli Jasmine – No Age – Serum Enriched Hand Cream – 30g_primary.jpg,Neroli Jasmine – No Age – Serum Enriched Hand Cream – 30g_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-no-age-serum-enriched-hand-cream-30g/
p98,Neroli Jasmine – Hydrate & Treat Rich Body Butter – 150g,16,mind & body,body butters/rich body creams,no,"An ultra-rich intensive formula to hydrate & gently illuminate skin, while soothing dryness & related discomfort. Rice Bran & Virgin Coconut combine with Mango & Cocoa Butters help intensively nourish, soften & smoothen rough & dry areas.",,Neroli Jasmine – Hydrate & Treat Rich Body Butter – 150g_primary.jpg,,https://store.spaceylon.com/product/neroli-jasmine-hydrate-treat-rich-body-butter-150g/
p99,Neroli Jasmine – Gentle Body Cleanser – 250ml,11,mind & body,bath & shower,no,A gentle sulphate-free body cleanser with a caring blend of herbs & essential oils.,,Neroli Jasmine – Gentle Body Cleanser – 250ml_primary.jpg,,https://store.spaceylon.com/product/neroli-jasmine-gentle-body-cleanser/
p100,Neroli Jasmine – Calming Body Mist – 100ml,12,mind & body,mind & body,no,A quick drying non-oily natural mist with a blend of herbs & essential to gently pacify the body & mind.,,Neroli Jasmine – Calming Body Mist – 100ml_primary.jpg,Neroli Jasmine – Calming Body Mist – 100ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-calming-body-mist-100ml/
p101,Sleep – Body Milk 250ml,15,mind & body,body care,yes,"A potent natural blend of essential oils & herbs to promote deep restful sleep. Virgin Coconut & Honey help nourish, moisturize & treat dryness. Sweet Almond milk improves overall skin health & helps maintain a restful sleep.",,Sleep – Body Milk 250ml_primary.jpg,Sleep – Body Milk 250ml_secondary.jpg,https://store.spaceylon.com/product/sleep-body-milk-250ml-2/
p102,Sleep Intense – Relaxing Body Cleanser 250ml,15,mind & body,bath & shower,no,"An intense pacifying & purifying blend of powerful Ayurveda herbs & potent essential oils to promote dreamy restful sleep. Comforting & grounding Neroli Blossom helps wash away daily stress & gently unwind, while exotic Ylang Ylang calms & clarifies mind & body.",,Sleep Intense – Relaxing Body Cleanser 250ml_primary.jpg,Sleep Intense – Relaxing Body Cleanser 250ml_secondary.jpg,https://store.spaceylon.com/product/sleep-intense-relaxing-body-cleanser-250ml/
p103,Royal Lotus -Bath & Shower Gel 250ml,21,mind & body,bath & shower,no,A mild cleansing formula infused with precious herbs & pure essential oils.,,Royal Lotus -Bath & Shower Gel 250ml_primary.jpg,Royal Lotus -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/royal-lotus-bath-shower-gel-250ml/
p104,Unawatuna -Bath & Shower Gel 250ml,21,mind & body,bath & shower,no,A mild cleansing formula infused with precious herbs & pure essential oils.,,Unawatuna -Bath & Shower Gel 250ml_primary.jpg,Unawatuna -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/unawatuna-bath-shower-gel-250ml/
p105,Island Rose -Bath & Shower Gel 250ml,21,mind & body,bath & shower,yes,A mild cleansing formula infused with precious herbs & pure essential oils.,,Island Rose -Bath & Shower Gel 250ml_primary.jpg,Island Rose -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/island-rose-bath-shower-gel-250ml/
p106,Mirissa -Bath & Shower Gel 250ml,21,mind & body,bath & shower,yes,A mild cleansing formula infused with precious herbs & pure essential oils.,,Mirissa -Bath & Shower Gel 250ml_primary.jpg,Mirissa -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/mirissa-bath-shower-gel-250ml/
p107,SUN – Moisture Care Body Spray – UVA + UVB Medium Protection 60ml (SPF25+),0,mind & body,sun care,yes,Description not available,,,,https://store.spaceylon.com/product/sun-moisture-care-body-spray-uva-uvb-medium-protection-60ml-spf25/
p108,Mirissa – Nourishing Hand & Body Lotion – 160ml,21,mind & body,body lotions,yes,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",,Mirissa – Nourishing Hand & Body Lotion – 160ml_primary.jpg,Mirissa – Nourishing Hand & Body Lotion – 160ml_secondary.jpg,https://store.spaceylon.com/product/mirissa-nourishing-hand-body-lotion-160ml/
p109,Royal Lotus – Nourishing Hand & Body Lotion – 160ml,21,mind & body,body lotions,no,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",,Royal Lotus – Nourishing Hand & Body Lotion – 160ml_primary.jpg,Royal Lotus – Nourishing Hand & Body Lotion – 160ml_secondary.jpg,https://store.spaceylon.com/product/royal-lotus-nourishing-hand-body-lotion-160ml/
p110,Island Rose – Nourishing Hand & Body Lotion – 160ml,21,mind & body,body lotions,no,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",,Island Rose – Nourishing Hand & Body Lotion – 160ml_primary.jpg,Island Rose – Nourishing Hand & Body Lotion – 160ml_secondary.jpg,https://store.spaceylon.com/product/island-rose-nourishing-hand-body-lotion-160ml/
p111,Unawatuna – Nourishing Hand &am Body Lotion – 160ml,21,mind & body,body lotions,yes,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",,Unawatuna – Nourishing Hand &am Body Lotion – 160ml_primary.jpg,Unawatuna – Nourishing Hand &am Body Lotion – 160ml_secondary.jpg,https://store.spaceylon.com/product/unawatuna-nourishing-hand-body-lotion-160ml/
p112,Baby Soap 100g,5,mind & body,baby care,no,"A creamy natural cleanser enriched with Virgin Coconut, Rice Bran, Almond & Moringa to moisturise, nourish & soften delicate skin. Pure Mango Butter & Kokum Butters help hydrate, protect & fortify natural balance, while fresh Aloe Vera & Calendula help cool & comfort.",,Baby Soap 100g_primary.jpg,Baby Soap 100g_secondary.jpg,https://store.spaceylon.com/product/baby-soap-100g/
p113,Baby Eau De Ceylon 100ml,19,mind & body,baby care,no,"A soft, breezy cologne evoking the soothing freshness of Ceylonese Citrus fruits, floral blossoms & rainforest herbs. The delicate island water is infused with an allergen-free aromatic blend, combining Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",,Baby Eau De Ceylon 100ml_primary.jpg,Baby Eau De Ceylon 100ml_secondary.jpg,https://store.spaceylon.com/product/baby-eau-de-ceylon-100ml/
p114,Baby Soothing Aloe Gel 250Ml,19,mind & body,baby care,no,"A light gel infused with naturally hydrating fresh Aloe Vera, to effectively soothe & care for delicate skin & hair. Pure Witch Hazel combines with Calendula & Apricot to comfort & protect from head-to-toe, protecting against dryness, environment & minor irritations. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",,Baby Soothing Aloe Gel 250Ml_primary.jpg,Baby Soothing Aloe Gel 250Ml_secondary.jpg,https://store.spaceylon.com/product/baby-soothing-aloe-gel-250ml/
p115,Baby Shampoo 250ml,19,mind & body,baby care,no,"A light natural formula that is gentle for the eyes. Infused with Aloe Vera, Calendula & Mango to remove impurities & softly cleanse delicate hair & scalp. Virgin Coconut, Sweet Almond, & Sunflower help hydrate & fortify natural scalp balance, leaving hair soft & silky. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",,Baby Shampoo 250ml_primary.jpg,Baby Shampoo 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-shampoo-250ml/
